Category,Sub Category 1,Sub Category 2,Weight,Jul-24,Jun-24,May-24,Apr-24,Mar-24,Feb-24,Jan-24,Dec-23,Nov-23,Oct-23,Sep-23,Aug-23,Jul-23,Jun-23,May-23,Apr-23,Mar-23,Feb-23
Headline,,,100.0,0.0011617728972706583,0.0003375054526234507,0.0016616275657953966,0.003893293034335285,0.006464169937420557,0.006189671775550793,0.00544750379793051,-0.0009933203278934342,-0.0020151395484137424,-0.00038337952298488575,0.002485131552376596,0.004367155068353457,0.0019075150192226177,0.0032289142364866352,0.002518435010202332,0.005059038683258414,0.0033107299561229817,0.0055821105057323895
Food + Energy,,,20.21,0.0030351075373441553,-0.0027011399997013017,0.0001975421644107854,0.007922146945441558,0.010953693984320856,0.00804042944812668,0.005117674736713313,-0.00861994665380003,-0.012327471361656026,-0.008181858744081744,0.0032745876176879284,0.012148872921123504,0.0030155726875199284,0.005400024730578345,-0.0025832674934346657,0.006609689030830002,-0.002419356651136698,0.0009225950840203912
,Food,,13.555,0.00248208739882135,0.0018343566736590347,0.0013431174430477977,0.0018925254461722209,0.00092561271871825,0.0012562272539734822,0.0057256458770085115,0.0007127296616393966,-0.0017292474834655046,0.003143531865110448,0.0020865855251293594,0.0017382094573546595,0.0028114457078594816,0.0009661956593113618,0.0022752558095805167,0.0023465624587701035,0.0009055180003144503,0.004246854328160361
,,At home,8.167,0.002914126481592803,0.00023881261061452024,-9.15909678221958e-05,0.0009200264548532408,-0.0001407671482212806,0.0014162216386865083,0.0067061599643569655,-0.0007222383452496969,-0.0051314356208250365,0.002839516328041456,0.0006881428703130661,0.0008600945774497837,0.003704499975193096,-0.0006610805361364651,0.0006846868301978331,0.0013579846183399736,-0.001867873566448355,0.00347670310348832
,,Away Home,5.388,0.002080756125615806,0.004132400251703208,0.003515457351160296,0.0034755558969238338,0.0026127900196921544,0.0009552675988095768,0.004660309101569853,0.0032770691181327645,0.00434474840032988,0.0037371883811484936,0.003945709286879667,0.0034407741600960473,0.0017417324168302124,0.003834034208766446,0.004711918163519142,0.0036948768945888667,0.0059648890818094985,0.006341179771867978
,Energy,,6.655,0.004161506932937938,-0.011939105049648612,-0.0021357820883201985,0.020203366993915766,0.031379034563621136,0.021858590340951115,0.0038793503480279014,-0.02762887639922173,-0.033914086638721766,-0.031249577708409342,0.005694327417031491,0.0333534624404904,0.0034313414642738508,0.014430911742001928,-0.012479177842400976,0.015292886729443365,-0.009191509303341103,-0.005848304097695205
Core,,,79.79,0.0006614357858703922,0.0011737789090131997,0.0020473114492197903,0.0028067918054293646,0.005291374330652369,0.0057266208154376184,0.005501639911896842,0.0009659634281752845,0.0007258012717579777,0.0018113552347522439,0.002302460795284143,0.002265660855456726,0.0015926969020101705,0.002642033651848844,0.0039003059638513084,0.004658303761997675,0.004818904579110541,0.006785622031911416
,Commodities,,18.891,-0.003969956433202506,-0.0003744979009997392,-0.000875075437537609,-0.0010550113036926082,0.0007420724938461704,0.005374061358921764,0.0016768941004921955,-0.004698639994678423,-0.008347375553943092,-0.0022854954798643364,-0.0052848020282213505,8.927827442943062e-05,-0.0034047500415212463,0.0005281930456560492,0.003968230324191291,0.005222776576565699,0.004300855358925949,0.005479617757348529
,Services,,60.899,0.0020612718455221457,0.0016464446410029666,0.0029409779474867353,0.00399100631929503,0.006692947918290867,0.005835054931859078,0.0066931795193146595,0.002956874175725053,0.00395976638868807,0.003277389254150939,0.005047354960560461,0.0030577735790272022,0.003418665510303884,0.0034177007045371154,0.003875368553644422,0.00445125808623963,0.005009357294844535,0.007261308998135641
,,Shelter,36.191,0.003275583783486749,0.002404363920515685,0.004364351673672303,0.003445455784579526,0.005757718846628313,0.005128911752097472,0.006324579581083324,0.003972755303022483,0.0037703624154126663,0.0025996736138317413,0.005772126266566782,0.0026031719453935747,0.004288033967955367,0.0047996705176673905,0.005681878524623207,0.004440343386555281,0.006606534052777141,0.007914282235480368
,,Supercore,24.708,0.00028261054768836903,0.0005362836953641129,0.0008560937591921791,0.004790100515583227,0.00806282307340417,0.006869376925494835,0.0072330856373545764,0.001468864062481517,0.004237195528918367,0.004270072058861644,0.003985747451426787,0.0037236505307365517,0.0021452595749442914,0.0013934628258339505,0.0012292862175713602,0.004467245373607132,0.002669895418272617,0.006304867585121919
